test,nodes,edges,terminals,gpu_results,cpu_results,speed_up
i320-033,320,640,8,0.083,0.347,4.180339718106252
i320-034,320,640,8,0.081,0.35,4.320577706455993
i320-035,320,640,8,0.085,0.35,4.117280319962357
i320-041,320,10208,8,0.302,0.552,1.827787159365584
i320-042,320,10208,8,0.303,0.554,1.8283554998184879
i320-043,320,10208,8,0.3,0.558,1.859971334288857
i320-044,320,10208,8,0.293,0.555,1.8941674345585475
i320-045,320,10208,8,0.296,0.559,1.8884834971791493
i320-101,320,480,17,9.282,over 30s,a lot
i320-102,320,480,17,9.299,over 30s,a lot
i320-103,320,480,17,9.25,over 30s,a lot
i320-104,320,480,17,9.297,over 30s,a lot
i320-105,320,480,17,9.27,over 30s,a lot
i320-111,320,1845,17,9.336,over 30s,a lot
i320-112,320,1845,17,9.317,over 30s,a lot
i320-113,320,1845,17,9.318,over 30s,a lot
i320-114,320,1845,17,9.348,over 30s,a lot
i320-115,320,1845,17,9.372,over 30s,a lot
i320-121,320,51040,17,10.215,over 30s,a lot
i320-122,320,51040,17,10.211,over 30s,a lot
i320-123,320,51040,17,10.146,over 30s,a lot
i320-124,320,51040,17,10.139,over 30s,a lot
i320-125,320,51040,17,10.205,over 30s,a lot
i320-131,320,640,17,9.303,over 30s,a lot
i320-132,320,640,17,9.279,over 30s,a lot
i320-133,320,640,17,9.336,over 30s,a lot
i320-134,320,640,17,9.313,over 30s,a lot
i320-135,320,640,17,9.337,over 30s,a lot
i320-141,320,10208,17,9.495,over 30s,a lot
i320-142,320,10208,17,9.494,over 30s,a lot
i320-143,320,10208,17,9.497,over 30s,a lot
i320-144,320,10208,17,9.521,over 30s,a lot
i320-145,320,10208,17,9.523,over 30s,a lot
i640-001,640,960,9,0.313,2.453,7.836842273409795
i640-002,640,960,9,0.319,2.411,7.557788157111062
i640-003,640,960,9,0.312,2.408,7.717733405980577
i640-004,640,960,9,0.315,2.407,7.641059013999556
i640-005,640,960,9,0.309,2.405,7.78295200802563
i640-011,640,4135,9,0.492,2.603,5.290563199934962
i640-012,640,4135,9,0.508,2.608,5.133776894155628
i640-013,640,4135,9,0.512,2.59,5.058514482139021
i640-014,640,4135,9,0.506,2.603,5.144186873777199
i640-015,640,4135,9,0.504,2.596,5.150711295410806
i640-021,640,204480,9,7.395,9.448,1.2776196381073184
i640-022,640,204480,9,7.386,9.435,1.2774163587647458
i640-023,640,204480,9,7.334,9.449,1.288382481071065
i640-024,640,204480,9,7.365,9.481,1.2873044300007739
i640-025,640,204480,9,7.436,9.456,1.2716510601787787
i640-031,640,1280,9,0.347,2.448,7.054580559638051
i640-032,640,1280,9,0.347,2.438,7.0257629463127875
i640-033,640,1280,9,0.35,2.439,6.968400902831348
i640-034,640,1280,9,0.336,2.437,7.25279009553287
i640-035,640,1280,9,0.345,2.44,7.0722877597750795
i640-041,640,40896,9,1.983,4.047,2.0408419523855144
i640-042,640,40896,9,1.968,4.05,2.05792145365115
i640-043,640,40896,9,1.962,4.08,2.079505201298668
i640-044,640,40896,9,1.952,4.052,2.07581416078811
i640-045,640,40896,9,1.994,4.07,2.041118148855823
lin01,53,80,4,0.001,0.004,3.97029702970297
lin02,55,82,6,0.002,0.01,4.980099502487562
lin03,57,84,8,0.002,0.019,9.457711442786069
lin04,157,266,6,0.018,0.038,2.1104941699056083
lin05,160,269,9,0.018,0.171,9.495280399777903
lin06,165,274,14,0.349,9.12,26.131085069195723
