test,nodes,edges,terminals,cpu_results,gpu_results,wata-orz_results,wata-orz_results_with_preprocessing
i320-033,320,640,8,0.877,0.284,0.016,0.016
i320-034,320,640,8,0.977,0.293,0.019,0.017
i320-035,320,640,8,0.921,0.316,0.019,0.018
i320-041,320,10208,8,0.895,0.328,0.037,0.037
i320-042,320,10208,8,0.887,0.283,0.032,0.039
i320-043,320,10208,8,0.901,0.306,0.033,0.041
i320-044,320,10208,8,0.929,0.27,0.031,0.042
i320-045,320,10208,8,0.9,0.317,0.034,0.040
i320-101,320,480,17,over 30s,9.44,3.902,2.709
i320-102,320,480,17,over 30s,9.495,0.706,0.244
i320-103,320,480,17,over 30s,9.392,6.220,4.533
i320-104,320,480,17,over 30s,9.43,9.882,8.168
i320-105,320,480,17,over 30s,9.436,8.247,5.566
i320-111,320,1845,17,over 30s,9.365,over 30s,over 30s
i320-112,320,1845,17,over 30s,9.327,over 30s,over 30s
i320-113,320,1845,17,over 30s,9.396,over 30s,over 30s
i320-114,320,1845,17,over 30s,9.422,over 30s,over 30s
i320-115,320,1845,17,over 30s,9.42,over 30s,over 30s
i320-121,320,51040,17,over 30s,9.474,over 30s,over 30s
i320-122,320,51040,17,over 30s,9.464,over 30s,over 30s
i320-123,320,51040,17,over 30s,9.432,over 30s,over 30s
i320-124,320,51040,17,over 30s,9.462,over 30s,over 30s
i320-125,320,51040,17,over 30s,9.484,over 30s,over 30s
i320-131,320,640,17,over 30s,9.401,over 30s,over 30s
i320-132,320,640,17,over 30s,9.428,13.135,4.470
i320-133,320,640,17,over 30s,9.431,8.515,7.962
i320-134,320,640,17,over 30s,9.349,over 30s,over 30s
i320-135,320,640,17,over 30s,9.367,over 30s,over 30s
i320-141,320,10208,17,over 30s,9.491,over 30s,over 30s
i320-142,320,10208,17,over 30s,9.449,over 30s,over 30s
i320-143,320,10208,17,over 30s,9.463,over 30s,over 30s
i320-144,320,10208,17,over 30s,9.446,over 30s,over 30s
i320-145,320,10208,17,over 30s,9.441,over 30s,over 30s
i640-001,640,960,9,6.892,0.253,0.022,0.020
i640-002,640,960,9,6.88,0.243,0.021,0.019
i640-003,640,960,9,6.932,0.266,0.017,0.021
i640-004,640,960,9,6.869,0.295,0.036,0.025
i640-005,640,960,9,6.918,0.24,0.032,0.028
i640-011,640,4135,9,6.918,0.39,0.090,0.097
i640-012,640,4135,9,6.89,0.381,0.084,0.094
i640-013,640,4135,9,6.889,0.363,0.101,0.100
i640-014,640,4135,9,6.892,0.38,0.090,0.085
i640-015,640,4135,9,6.915,0.36,0.084,0.083
i640-021,640,204480,9,6.85,0.65,0.282,0.901
i640-022,640,204480,9,6.954,0.684,0.278,0.682
i640-023,640,204480,9,6.931,0.665,0.273,0.845
i640-024,640,204480,9,6.886,0.629,0.282,0.853
i640-025,640,204480,9,6.84,0.732,0.252,0.856
i640-031,640,1280,9,6.881,0.285,0.041,0.038
i640-032,640,1280,9,6.929,0.323,0.033,0.030
i640-033,640,1280,9,6.889,0.254,0.045,0.043
