test,nodes,edges,terminals,gpu_results,gpu_results_with_preprocessing,wata-orz_results,wata-orz_results_with_preprocessing
i320-132,320,640,17,2.3,1.135,13.135,4.470
i320-133,320,640,17,2.292,3.144,8.515,7.962
i320-134,320,640,17,2.309,8.182,over 30s,over 30s
i320-135,320,640,17,2.319,8.008,over 30s,over 30s
i320-141,320,10208,17,2.329,9.201,over 30s,over 30s
i320-142,320,10208,17,2.325,9.142,over 30s,over 30s
i320-143,320,10208,17,2.329,9.197,over 30s,over 30s
i320-144,320,10208,17,2.327,9.247,over 30s,over 30s
i320-145,320,10208,17,2.341,9.174,over 30s,over 30s
i640-001,640,960,9,0.045,0.01,0.022,0.020
i640-002,640,960,9,0.046,0.01,0.021,0.019
i640-003,640,960,9,0.047,0.01,0.017,0.021
i640-004,640,960,9,0.047,0.01,0.036,0.025
i640-005,640,960,9,0.045,0.011,0.032,0.028
i640-011,640,4135,9,0.068,0.057,0.090,0.097
i640-012,640,4135,9,0.067,0.057,0.084,0.094
i640-013,640,4135,9,0.068,0.057,0.101,0.100
i640-014,640,4135,9,0.067,0.057,0.090,0.085
i640-015,640,4135,9,0.068,0.056,0.084,0.083
i640-031,640,1280,9,0.055,0.025,0.041,0.038
i640-032,640,1280,9,0.053,0.025,0.033,0.030
i640-033,640,1280,9,0.049,0.024,0.045,0.043
i640-034,640,1280,9,0.049,0.024,0.027,0.029
lin01,53,80,4,0,0,0.000,0.001
lin02,55,82,6,0,0,0.000,0.000
lin03,57,84,8,0,0,0.001,0.001
lin04,157,266,6,0.002,0,0.000,0.002
lin05,160,269,9,0.003,0,0.002,0.007
lin06,165,274,14,0.062,0,0.004,0.004
lin07,307,526,6,0.007,0,0.002,0.007
lin08,311,530,10,0.015,0,0.002,0.007
lin09,313,532,12,0.037,0,0.005,0.015
lin11,816,1460,10,0.089,0.004,0.012,0.043
msm0580,338,541,11,0.024,0.003,0.008,0.013
msm0654,1290,2270,10,0.184,0,0.014,0.022
msm0709,1442,2403,16,9.991,0.003,0.014,0.031
msm1008,402,695,11,0.031,0,0.014,0.006
msm1234,933,1632,13,0.492,0,0.007,0.017
msm1707,278,478,11,0.016,0,0.002,0.004
msm1844,90,135,10,0.001,0,0.002,0.001
msm1931,875,1522,10,0.087,0,0.007,0.016
msm2000,898,1562,10,0.09,0,0.007,0.017
msm2326,418,723,14,0.238,0,0.005,0.008
msm2705,1359,2458,13,0.982,0,0.020,0.023
msm3676,957,1554,10,0.105,0,0.008,0.017
msm4038,237,390,11,0.012,0,0.004,0.004
msm4114,402,690,16,1.261,0,0.004,0.008
msm4190,391,666,16,1.362,0,0.009,0.006
msm4224,191,302,11,0.01,0,0.004,0.004
msm4414,317,476,11,0.02,0,0.004,0.003
msm4515,777,1358,13,0.341,0.003,0.019,0.013
p457,100,4950,10,0.005,0.002,0.003,0.008
p458,100,4950,10,0.004,0.002,0.008,0.015
p401,100,4950,5,0.005,0,0.000,0.008
p402,100,4950,5,0.006,0,0.001,0.012
p403,100,4950,5,0.005,0,0.002,0.006
p404,100,4950,10,0.006,0,0.005,0.008
p405,100,4950,10,0.006,0,0.009,0.010
p406,100,4950,10,0.01,0.001,0.006,0.011
p407,100,4950,20,17.022,0.069,0.536,0.022
p408,100,4950,20,16.251,0.061,0.192,0.012
p619,100,180,5,0.001,0,0.000,0.001
p620,100,180,5,0.001,0,0.000,0.001
p621,100,180,5,0.001,0,0.000,0.001
p622,100,180,10,0.002,0,0.001,0.002
p623,100,180,10,0.002,0.001,0.004,0.003
p624,100,180,20,17.121,0,0.006,0.002
p625,100,180,20,16.587,0,0.006,0.004
p626,100,180,20,17.028,0,0.011,0.002
p630,200,370,10,0.006,0,0.002,0.002
p631,200,370,20,over 30s,0,0.015,0.009
p601,100,180,0,0,0,0.000,over 30s
p602,100,180,5,0.001,0,0.000,0.002
p603,100,180,5,0.002,0,0.000,0.003
p604,100,180,10,0.004,0,0.001,0.003
p605,100,180,10,0.002,0,0.002,0.003
p606,100,180,10,0.002,0,0.002,0.001
p607,100,180,20,16.407,0,0.003,0.001
p608,100,180,20,16.34,0,0.010,0.001
p609,100,180,20,16.479,0,0.003,0.004
p613,200,370,10,0.007,0.001,0.003,0.010
cc3-4p,64,288,8,0,0.001,0.008,0.006
cc3-4u,64,288,8,0,0.001,0.014,0.010
cc3-5p,125,750,13,0.024,0.125,0.881,0.841
cc3-5u,125,750,13,0.022,0.118,0.827,0.801
cc6-2p,64,192,12,0.004,0.018,0.156,0.128
cc6-2u,64,192,12,0.004,0.017,0.145,0.132
antiwheel5,10,15,5,0,0,0.000,0.000
design432,8,20,4,0,0,0.000,0.000
oddcycle3,6,9,3,0,0,0.000,0.000
oddwheel3,7,9,4,0,0,0.000,0.000
se03,13,21,4,0,0,0.000,0.000
taq0023,572,963,11,0.066,0.001,0.005,0.015
taq0631,609,932,10,0.048,0,0.008,0.012
taq0891,331,560,10,0.016,0,0.002,0.004
taq0910,310,514,17,2.405,0,0.012,0.005
taq0920,122,194,17,0.78,0,0.003,0.001
taq0978,777,1239,10,0.074,0,0.006,0.013
