test,n,m,t,DW CPU,DW GPU,DW GPU P,Pruning,Pruning P
i080-225,80,3160,16,27.429,0.168,0.182,22.476,21.115
i080-231,80,160,16,27.922,0.173,0.154,2.813,2.444
i080-232,80,160,16,27.227,0.192,0.163,6.024,5.230
i080-233,80,160,16,26.988,0.185,0.118,2.013,1.605
i080-234,80,160,16,27.539,0.188,0.155,0.962,0.726
i080-235,80,160,16,27.327,0.169,0.023,0.426,0.191
i080-241,80,632,16,26.967,0.195,0.179,22.379,20.674
i080-242,80,632,16,27.585,0.186,0.18,20.733,19.115
i080-243,80,632,16,27.412,0.187,0.183,20.995,19.397
i080-244,80,632,16,27.226,0.196,0.181,20.535,18.830
i080-245,80,632,16,26.946,0.179,0.181,22.087,20.584
i080-301,80,120,20,over 30s,12.707,0.097,0.519,0.163
i080-302,80,120,20,over 30s,13.711,0.002,0.046,0.011
i080-303,80,120,20,over 30s,14.54,0.093,0.329,0.057
i080-304,80,120,20,over 30s,14.158,0.094,0.479,0.093
i080-305,80,120,20,over 30s,13.696,0.706,1.811,0.898
i080-311,80,350,20,over 30s,14.42,15.648,over 30s,over 30s
i080-312,80,350,20,over 30s,13.837,15.623,over 30s,over 30s
i080-313,80,350,20,over 30s,13.817,15.433,over 30s,over 30s
i080-314,80,350,20,over 30s,13.867,15.587,over 30s,over 30s
i080-315,80,350,20,over 30s,13.875,15.532,over 30s,over 30s
i080-321,80,3160,20,over 30s,14.242,15.335,over 30s,over 30s
i080-322,80,3160,20,over 30s,14.453,15.571,over 30s,over 30s
i080-323,80,3160,20,over 30s,13.832,15.758,over 30s,over 30s
i080-324,80,3160,20,over 30s,13.87,15.691,over 30s,over 30s
i080-325,80,3160,20,over 30s,14.006,15.653,over 30s,over 30s
i080-331,80,160,20,over 30s,13.779,13.202,over 30s,over 30s
i080-332,80,160,20,over 30s,13.746,12.113,over 30s,over 30s
i080-333,80,160,20,over 30s,14.067,3.153,over 30s,over 30s
i080-334,80,160,20,over 30s,13.86,12.273,over 30s,over 30s
i080-335,80,160,20,over 30s,13.854,12.014,over 30s,over 30s
i080-341,80,632,20,over 30s,13.773,15.545,over 30s,over 30s
i080-342,80,632,20,over 30s,13.658,15.688,over 30s,over 30s
i080-343,80,632,20,over 30s,13.384,15.693,over 30s,over 30s
i080-344,80,632,20,over 30s,13.597,15.566,over 30s,over 30s
i080-345,80,632,20,over 30s,13.994,15.646,over 30s,over 30s
i160-001,160,240,7,0.057,0.002,0.001,0.004,0.002
i160-002,160,240,7,0.057,0.002,0.000,0.002,0.004
i160-003,160,240,7,0.057,0.002,0.000,0.002,0.003
i160-004,160,240,7,0.059,0.002,0.000,0.002,0.003
i160-005,160,240,7,0.056,0.002,0.001,0.004,0.004
i160-011,160,812,7,0.064,0.003,0.004,0.010,0.006
i160-012,160,812,7,0.068,0.003,0.003,0.004,0.006
i160-013,160,812,7,0.068,0.003,0.005,0.004,0.009
i160-014,160,812,7,0.068,0.003,0.003,0.005,0.007
i160-015,160,812,7,0.067,0.003,0.008,0.005,0.008
i160-021,160,12720,7,0.178,0.01,0.01,0.010,0.029
i160-022,160,12720,7,0.162,0.01,0.01,0.010,0.022
i160-023,160,12720,7,0.163,0.01,0.01,0.010,0.021
i160-024,160,12720,7,0.163,0.01,0.01,0.011,0.021
i160-025,160,12720,7,0.168,0.01,0.01,0.010,0.025
i160-031,160,320,7,0.064,0.002,0.001,0.005,0.006
i160-032,160,320,7,0.072,0.006,0.001,0.002,0.005
i160-033,160,320,7,0.069,0.002,0.001,0.006,0.008
i160-034,160,320,7,0.063,0.002,0.003,0.002,0.006
i160-035,160,320,7,0.058,0.002,0.003,0.004,0.006
i160-041,160,2544,7,0.086,0.005,0.005,0.007,0.011
i160-042,160,2544,7,0.082,0.005,0.005,0.008,0.011
i160-043,160,2544,7,0.083,0.005,0.005,0.008,0.013
i160-044,160,2544,7,0.086,0.005,0.006,0.011,0.010
i160-045,160,2544,7,0.084,0.005,0.006,0.008,0.010
i160-101,160,240,12,1.698,0.013,0.002,0.036,0.022
i160-102,160,240,12,1.676,0.013,0.002,0.071,0.028
i160-103,160,240,12,1.565,0.013,0.002,0.021,0.013
i160-104,160,240,12,1.635,0.013,0.005,0.020,0.015
i160-105,160,240,12,1.621,0.013,0.002,0.032,0.010
i160-111,160,812,12,1.673,0.014,0.015,0.492,0.511
i160-112,160,812,12,1.63,0.014,0.016,0.530,0.521
i160-113,160,812,12,1.607,0.014,0.016,0.518,0.480
i160-114,160,812,12,1.664,0.014,0.016,0.472,0.463
i160-115,160,812,12,1.62,0.014,0.015,0.478,0.491
i160-121,160,12720,12,1.741,0.02,0.021,0.606,0.609
i160-122,160,12720,12,1.782,0.02,0.021,0.609,0.586
i160-123,160,12720,12,1.789,0.02,0.021,0.596,0.577
i160-124,160,12720,12,1.737,0.023,0.022,0.582,0.562
i160-125,160,12720,12,1.668,0.02,0.021,0.594,0.566
i160-131,160,320,12,1.601,0.013,0.01,0.224,0.193
i160-132,160,320,12,1.658,0.013,0.008,0.078,0.069
i160-133,160,320,12,1.63,0.013,0.01,0.201,0.183
i160-134,160,320,12,1.689,0.013,0.009,0.056,0.049
i160-135,160,320,12,1.632,0.013,0.011,0.095,0.083
i160-141,160,2544,12,1.627,0.02,0.017,0.599,0.551
i160-142,160,2544,12,1.591,0.016,0.018,0.565,0.542
i160-143,160,2544,12,1.677,0.016,0.016,0.548,0.539
i160-144,160,2544,12,1.632,0.016,0.018,0.543,0.541
i160-145,160,2544,12,1.761,0.016,0.016,0.551,0.539
i320-001,320,480,8,0.345,0.012,0.003,0.006,0.006
i320-002,320,480,8,0.346,0.011,0.003,0.006,0.008
i320-003,320,480,8,0.342,0.011,0.003,0.010,0.007
i320-004,320,480,8,0.355,0.012,0.003,0.012,0.013
i320-005,320,480,8,0.338,0.011,0.003,0.010,0.008
i320-011,320,1845,8,0.383,0.016,0.016,0.022,0.029
i320-012,320,1845,8,0.382,0.015,0.016,0.030,0.028
i320-013,320,1845,8,0.385,0.017,0.017,0.026,0.029
i320-014,320,1845,8,0.385,0.016,0.016,0.023,0.028
i320-015,320,1845,8,0.387,0.015,0.016,0.028,0.030
i320-021,320,51040,8,1.227,0.067,0.066,0.043,0.105
i320-022,320,51040,8,1.22,0.067,0.065,0.042,0.131
i320-023,320,51040,8,1.22,0.065,0.078,0.044,0.129
i320-024,320,51040,8,1.221,0.076,0.066,0.042,0.130
i320-025,320,51040,8,1.218,0.066,0.067,0.045,0.106
i320-031,320,640,8,0.347,0.033,0.006,0.015,0.017
i320-032,320,640,8,0.347,0.011,0.007,0.019,0.019
i320-033,320,640,8,0.347,0.014,0.006,0.016,0.016
i320-034,320,640,8,0.35,0.011,0.006,0.019,0.017
i320-035,320,640,8,0.35,0.012,0.007,0.019,0.018
i320-041,320,10208,8,0.552,0.034,0.038,0.037,0.037
i320-042,320,10208,8,0.554,0.035,0.036,0.032,0.039
i320-043,320,10208,8,0.558,0.04,0.043,0.033,0.041
i320-044,320,10208,8,0.555,0.034,0.036,0.031,0.042
i320-045,320,10208,8,0.559,0.034,0.038,0.034,0.040
i320-101,320,480,17,over 30s,2.296,0.395,3.902,2.709
i320-102,320,480,17,over 30s,2.298,0.062,0.706,0.244
i320-103,320,480,17,over 30s,2.321,1.222,6.220,4.533
i320-104,320,480,17,over 30s,2.296,1.087,9.882,8.168
i320-105,320,480,17,over 30s,2.312,0.435,8.247,5.566
i320-111,320,1845,17,over 30s,2.347,2.768,over 30s,over 30s
i320-112,320,1845,17,over 30s,2.307,2.45,over 30s,over 30s
i320-113,320,1845,17,over 30s,2.321,2.456,over 30s,over 30s
i320-114,320,1845,17,over 30s,2.311,2.711,over 30s,over 30s
i320-115,320,1845,17,over 30s,2.3,2.46,over 30s,over 30s
i320-121,320,51040,17,over 30s,2.359,2.52,over 30s,over 30s
i320-122,320,51040,17,over 30s,2.371,2.536,over 30s,over 30s
i320-123,320,51040,17,over 30s,2.365,2.547,over 30s,over 30s
i320-124,320,51040,17,over 30s,2.373,2.586,over 30s,over 30s
i320-125,320,51040,17,over 30s,2.343,2.522,over 30s,over 30s
i320-131,320,640,17,over 30s,2.312,1.79,over 30s,over 30s
i320-132,320,640,17,over 30s,2.3,0.255,13.135,4.470
i320-133,320,640,17,over 30s,2.292,0.639,8.515,7.962
i320-134,320,640,17,over 30s,2.309,1.728,over 30s,over 30s
i320-135,320,640,17,over 30s,2.319,1.863,over 30s,over 30s
i320-141,320,10208,17,over 30s,2.329,2.486,over 30s,over 30s
i320-142,320,10208,17,over 30s,2.325,2.485,over 30s,over 30s
i320-143,320,10208,17,over 30s,2.329,2.473,over 30s,over 30s
i320-144,320,10208,17,over 30s,2.327,2.48,over 30s,over 30s
i320-145,320,10208,17,over 30s,2.341,2.479,over 30s,over 30s
i640-001,640,960,9,2.453,0.045,0.013,0.022,0.020
i640-002,640,960,9,2.411,0.046,0.013,0.021,0.019
i640-003,640,960,9,2.408,0.047,0.012,0.017,0.021
i640-004,640,960,9,2.407,0.047,0.012,0.036,0.025
i640-005,640,960,9,2.405,0.045,0.014,0.032,0.028
i640-011,640,4135,9,2.603,0.068,0.069,0.090,0.097
i640-012,640,4135,9,2.608,0.067,0.069,0.084,0.094
i640-013,640,4135,9,2.59,0.068,0.068,0.101,0.100
i640-014,640,4135,9,2.603,0.067,0.07,0.090,0.085
i640-015,640,4135,9,2.596,0.068,0.069,0.084,0.083
